time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-2-16 12:21:16.256	WT901BLE67(C7:80:21:F9:6E:55)	-0.037	-0.036	-0.015	-79.956	-122.070	-51.208	-66.62	-45.59	93.69	30.640	17.893	22.973	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.330	WT901BLE67(C7:80:21:F9:6E:55)	-0.080	-0.057	-0.023	-104.370	-158.020	-68.176	-68.26	-46.72	94.38	30.640	17.893	22.973	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.461	WT901BLE67(C7:80:21:F9:6E:55)	-0.154	-0.122	-0.052	-129.150	-194.397	-86.243	-69.21	-47.75	94.86	30.640	17.893	22.973	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.536	WT901BLE67(C7:80:21:F9:6E:55)	-0.244	-0.233	-0.102	-155.090	-231.750	-105.408	-69.95	-48.77	95.69	30.933	19.013	22.960	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.649	WT901BLE67(C7:80:21:F9:6E:55)	-0.401	-0.367	-0.164	-181.946	-269.836	-125.793	-70.90	-49.84	96.50	30.933	19.013	22.960	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.744	WT901BLE67(C7:80:21:F9:6E:55)	-0.580	-0.599	-0.273	-209.839	-309.082	-147.644	-75.28	-50.91	98.44	30.933	19.013	22.960	0.68323	-0.11142	-0.58698	0.41971	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.856	WT901BLE67(C7:80:21:F9:6E:55)	-0.782	-0.862	-0.400	-238.281	-349.182	-169.617	-78.82	-52.00	100.81	30.933	19.013	22.960	0.65231	-0.10059	-0.66248	0.35410	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:16.931	WT901BLE67(C7:80:21:F9:6E:55)	-1.009	-1.157	-0.546	-269.470	-387.146	-195.496	-86.80	-52.56	105.56	30.933	19.013	22.960	0.65231	-0.10059	-0.66248	0.35410	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.63	WT901BLE67(C7:80:21:F9:6E:55)	-1.259	-1.484	-0.711	-298.706	-430.237	-220.825	-91.25	-50.97	106.39	30.933	19.013	22.960	0.65231	-0.10059	-0.66248	0.35410	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.136	WT901BLE67(C7:80:21:F9:6E:55)	-1.533	-1.844	-0.900	-325.989	-469.055	-249.329	-91.07	-51.87	107.28	32.673	15.560	20.520	0.65231	-0.10059	-0.66248	0.35410	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.286	WT901BLE67(C7:80:21:F9:6E:55)	-1.833	-2.236	-1.110	-358.337	-512.268	-276.367	-91.88	-53.07	109.37	32.673	15.560	20.520	0.65231	-0.10059	-0.66248	0.35410	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.343	WT901BLE67(C7:80:21:F9:6E:55)	-2.107	-2.663	-1.343	-390.076	-555.176	-306.030	-92.21	-54.11	111.13	32.673	15.560	20.520	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.455	WT901BLE67(C7:80:21:F9:6E:55)	-2.190	-3.053	-1.560	-421.387	-596.924	-336.060	-93.48	-55.13	112.31	32.673	15.560	20.520	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.549	WT901BLE67(C7:80:21:F9:6E:55)	-2.533	-3.170	-1.626	-450.012	-634.399	-363.464	-94.76	-55.81	113.10	32.673	15.560	20.520	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.663	WT901BLE67(C7:80:21:F9:6E:55)	-2.934	-3.653	-1.906	-482.788	-677.002	-395.203	-97.12	-56.58	114.23	32.673	15.560	20.520	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.737	WT901BLE67(C7:80:21:F9:6E:55)	-3.363	-4.213	-2.235	-518.494	-722.900	-427.612	-101.98	-56.59	116.57	38.907	15.527	16.207	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.869	WT901BLE67(C7:80:21:F9:6E:55)	-3.823	-4.812	-2.590	-555.908	-772.522	-459.229	-107.80	-55.33	123.91	38.907	15.527	16.207	0.61835	-0.09665	-0.71216	0.31784	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:17.944	WT901BLE67(C7:80:21:F9:6E:55)	-4.307	-5.449	-2.969	-591.003	-820.129	-490.295	-121.77	-55.74	143.64	38.907	15.527	16.207	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.77	WT901BLE67(C7:80:21:F9:6E:55)	-4.809	-6.122	-3.373	-617.432	-862.244	-520.691	-144.01	-55.24	172.42	38.907	15.527	16.207	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.151	WT901BLE67(C7:80:21:F9:6E:55)	-5.335	-6.830	-3.804	-642.151	-906.067	-558.655	-157.52	-58.39	-168.59	38.907	15.527	16.207	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.263	WT901BLE67(C7:80:21:F9:6E:55)	-5.892	-7.574	-4.270	-675.964	-956.482	-606.079	-175.38	-57.45	-150.12	38.907	15.527	16.207	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.356	WT901BLE67(C7:80:21:F9:6E:55)	-6.481	-8.354	-4.777	-716.858	-995.544	-663.574	167.25	-47.97	-136.07	38.907	15.527	16.207	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.469	WT901BLE67(C7:80:21:F9:6E:55)	-7.098	-9.166	-5.331	-750.977	-1031.677	-721.924	162.15	-25.42	-142.23	7.887	44.073	19.053	0.47061	0.03787	-0.83990	0.26746	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.544	WT901BLE67(C7:80:21:F9:6E:55)	-7.751	-10.013	-5.921	-796.387	-1090.881	-758.911	167.27	-8.53	-146.35	7.887	44.073	19.053	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.675	WT901BLE67(C7:80:21:F9:6E:55)	-8.434	-10.904	-6.548	-839.050	-1134.277	-808.899	-173.64	-12.53	-146.18	7.887	44.073	19.053	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.750	WT901BLE67(C7:80:21:F9:6E:55)	-9.136	-11.829	-7.217	-869.507	-1177.734	-863.159	-147.11	-15.30	-153.33	7.887	44.073	19.053	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.881	WT901BLE67(C7:80:21:F9:6E:55)	-9.857	-12.792	-7.928	-888.611	-1227.539	-916.077	-104.17	-10.88	-152.83	7.887	44.073	19.053	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:18.956	WT901BLE67(C7:80:21:F9:6E:55)	-10.604	-13.797	-8.683	-919.739	-1282.410	-968.140	-95.01	-13.73	-168.74	31.473	12.353	-39.447	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.73	WT901BLE67(C7:80:21:F9:6E:55)	-11.373	-14.845	-9.477	-943.665	-1336.426	-1015.991	-96.72	-17.13	-169.89	31.473	12.353	-39.447	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.163	WT901BLE67(C7:80:21:F9:6E:55)	-12.166	-15.933	-10.309	-975.891	-1384.155	-1066.406	-93.53	-18.61	-167.00	31.473	12.353	-39.447	0.08444	0.28973	-0.95325	-0.01239	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.276	WT901BLE67(C7:80:21:F9:6E:55)	-12.981	14.937	-11.184	-1004.822	-1445.068	-1122.375	-85.69	-29.52	-167.03	31.473	12.353	-39.447	0.10281	0.26370	-0.64005	0.71423	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.351	WT901BLE67(C7:80:21:F9:6E:55)	-13.821	13.762	-12.097	-1036.377	-1497.192	-1167.786	-108.49	-31.24	176.64	31.473	12.353	-39.447	0.10281	0.26370	-0.64005	0.71423	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.481	WT901BLE67(C7:80:21:F9:6E:55)	-14.681	12.542	-13.051	-1061.646	-1550.720	-1218.506	-123.22	-34.52	177.13	31.473	12.353	-39.447	0.10281	0.26370	-0.64005	0.71423	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.556	WT901BLE67(C7:80:21:F9:6E:55)	-15.566	11.281	-14.046	-1091.675	-1601.990	-1267.395	-111.08	-41.72	148.78	44.353	27.753	2.800	0.10281	0.26370	-0.64005	0.71423	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.688	WT901BLE67(C7:80:21:F9:6E:55)	15.526	9.978	-15.083	-1122.925	-1655.273	-1323.181	-109.84	-40.98	145.09	44.353	27.753	2.800	0.10281	0.26370	-0.64005	0.71423	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.762	WT901BLE67(C7:80:21:F9:6E:55)	14.595	8.632	15.834	-1152.588	-1708.862	-1386.780	-108.41	-40.48	153.11	44.353	27.753	2.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.875	WT901BLE67(C7:80:21:F9:6E:55)	13.643	7.246	14.700	-1183.960	-1771.729	-1444.885	-127.40	-39.05	175.44	44.353	27.753	2.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:19.970	WT901BLE67(C7:80:21:F9:6E:55)	12.674	5.811	13.525	-1203.308	-1822.021	-1501.099	-140.51	-38.81	-178.54	44.353	27.753	2.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.81	WT901BLE67(C7:80:21:F9:6E:55)	11.678	4.340	12.311	-1228.516	-1870.850	-1555.115	-92.14	-50.86	145.38	44.353	27.753	2.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.156	WT901BLE67(C7:80:21:F9:6E:55)	10.667	2.809	11.044	-1252.502	-1928.711	-1610.107	-80.71	-49.34	152.62	42.587	24.827	-14.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.289	WT901BLE67(C7:80:21:F9:6E:55)	9.633	1.249	9.728	-1280.762	-1984.253	-1676.147	-76.54	-47.96	152.32	42.587	24.827	-14.800	0.30243	0.09631	-0.87717	0.36017	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.362	WT901BLE67(C7:80:21:F9:6E:55)	8.570	-0.364	8.361	-1308.350	1957.520	-1736.633	-69.99	-49.35	138.52	42.587	24.827	-14.800	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.494	WT901BLE67(C7:80:21:F9:6E:55)	7.482	-2.015	6.954	-1345.398	1910.095	-1788.696	-43.12	-30.20	109.06	42.587	24.827	-14.800	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.568	WT901BLE67(C7:80:21:F9:6E:55)	6.374	-3.709	5.501	-1376.587	1860.291	-1840.515	-26.71	-33.65	103.84	42.587	24.827	-14.800	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.681	WT901BLE67(C7:80:21:F9:6E:55)	5.250	-5.441	3.999	-1394.470	1803.589	-1923.035	-8.15	-39.53	89.59	42.587	24.827	-14.800	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.776	WT901BLE67(C7:80:21:F9:6E:55)	4.100	-7.220	2.425	-1419.678	1748.535	1992.615	-4.75	-53.33	88.89	42.587	24.827	-14.800	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.888	WT901BLE67(C7:80:21:F9:6E:55)	2.922	-9.041	0.799	-1455.688	1700.439	1939.209	-3.71	-58.53	89.81	33.380	31.973	-16.420	0.57489	0.02704	-0.48981	0.65479	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:20.962	WT901BLE67(C7:80:21:F9:6E:55)	1.720	-10.899	-0.876	-1486.938	1648.193	1869.080	-13.75	-55.88	97.94	33.380	31.973	-16.420	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.94	WT901BLE67(C7:80:21:F9:6E:55)	0.492	-12.799	-2.608	-1518.677	1598.694	1801.453	-22.99	-46.40	105.80	33.380	31.973	-16.420	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.168	WT901BLE67(C7:80:21:F9:6E:55)	-0.763	-14.744	-4.395	-1550.842	1543.030	1731.262	-23.25	-45.47	108.11	33.380	31.973	-16.420	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.283	WT901BLE67(C7:80:21:F9:6E:55)	-2.049	15.276	-6.236	-1586.426	1501.526	1663.879	-18.07	-26.22	101.18	33.380	31.973	-16.420	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.376	WT901BLE67(C7:80:21:F9:6E:55)	-3.358	13.258	-8.136	-1625.366	1449.402	1590.393	-21.09	-35.75	100.19	33.380	31.973	-16.420	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.488	WT901BLE67(C7:80:21:F9:6E:55)	-4.703	11.194	-10.095	-1659.180	1404.175	1511.475	-19.45	-32.90	89.71	41.300	27.093	4.247	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.583	WT901BLE67(C7:80:21:F9:6E:55)	-6.081	9.104	-12.115	-1701.599	1362.366	1446.777	-34.22	-59.80	103.11	41.300	27.093	4.247	0.59979	0.23471	-0.39270	0.65637	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.694	WT901BLE67(C7:80:21:F9:6E:55)	-7.490	6.980	-14.182	-1741.516	1314.514	1386.169	-28.51	-63.05	84.52	41.300	27.093	4.247	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.768	WT901BLE67(C7:80:21:F9:6E:55)	-8.929	4.809	15.702	-1781.921	1261.047	1325.439	5.98	-78.03	60.63	41.300	27.093	4.247	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.900	WT901BLE67(C7:80:21:F9:6E:55)	-10.395	2.597	13.536	-1815.491	1210.144	1251.831	83.31	-75.47	-1.89	41.300	27.093	4.247	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:21.975	WT901BLE67(C7:80:21:F9:6E:55)	-11.892	0.351	11.303	-1851.746	1181.396	1174.377	108.50	-67.55	-25.47	-2.060	32.213	-19.860	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.88	WT901BLE67(C7:80:21:F9:6E:55)	-13.416	-1.919	9.000	-1889.526	1148.804	1064.880	96.06	-61.26	-22.42	-2.060	32.213	-19.860	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.182	WT901BLE67(C7:80:21:F9:6E:55)	-14.973	-4.207	6.613	-1922.485	1131.653	974.304	86.57	-57.68	-30.25	-2.060	32.213	-19.860	0.70877	0.19287	-0.51166	0.44556	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.294	WT901BLE67(C7:80:21:F9:6E:55)	15.433	-6.521	4.158	-1967.712	1089.233	894.348	87.13	-56.88	-42.47	-2.060	32.213	-19.860	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.388	WT901BLE67(C7:80:21:F9:6E:55)	13.790	-8.869	1.649	1967.896	1029.480	822.083	89.19	-52.27	-57.96	-2.060	32.213	-19.860	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.500	WT901BLE67(C7:80:21:F9:6E:55)	12.109	-11.259	-0.923	1923.767	995.178	745.117	84.06	-51.99	-57.11	-2.060	32.213	-19.860	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.575	WT901BLE67(C7:80:21:F9:6E:55)	10.389	-13.678	-3.560	1872.437	954.529	664.734	74.89	-51.87	-48.83	-2.060	32.213	-19.860	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.706	WT901BLE67(C7:80:21:F9:6E:55)	8.631	15.872	-6.258	1824.707	917.297	592.712	48.41	-48.88	-18.78	-23.287	31.747	3.413	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.781	WT901BLE67(C7:80:21:F9:6E:55)	6.836	13.394	-9.014	1780.212	886.169	517.395	34.06	-40.80	-2.67	-23.287	31.747	3.413	0.71646	0.42139	-0.55374	0.04874	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.894	WT901BLE67(C7:80:21:F9:6E:55)	5.004	10.891	-11.833	1734.741	861.633	433.289	31.20	-35.72	3.76	-23.287	31.747	3.413	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:22.988	WT901BLE67(C7:80:21:F9:6E:55)	3.133	8.370	-14.721	1684.814	834.717	348.206	35.41	-40.78	-4.23	-23.287	31.747	3.413	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.100	WT901BLE67(C7:80:21:F9:6E:55)	1.229	5.828	14.324	1637.878	811.340	265.076	71.19	-53.47	-43.59	-23.287	31.747	3.413	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.175	WT901BLE67(C7:80:21:F9:6E:55)	-0.623	3.267	11.309	1579.041	775.269	192.322	91.63	-51.97	-69.94	-23.287	31.747	3.413	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.306	WT901BLE67(C7:80:21:F9:6E:55)	-2.004	0.821	8.435	1548.340	788.818	245.605	91.11	-51.64	-71.76	-27.420	27.347	13.227	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.381	WT901BLE67(C7:80:21:F9:6E:55)	-4.016	-0.968	6.365	1513.733	802.429	294.983	88.13	-51.55	-71.17	-27.420	27.347	13.227	0.91400	0.26102	-0.29300	0.10245	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.518	WT901BLE67(C7:80:21:F9:6E:55)	-6.073	-3.536	3.370	1457.947	777.344	218.079	81.38	-51.48	-65.65	-27.420	27.347	13.227	0.73392	0.31281	-0.58850	-0.13068	27.7	0.00	0.000	10080.1.13	90
2026-2-16 12:21:23.587	WT901BLE67(C7:80:21:F9:6E:55)	-8.176	-6.125	0.314	1399.902	751.892	143.982	59.79	-50.14	-42.53	-27.420	27.347	13.227	0.73392	0.31281	-0.58850	-0.13068	27.7	0.00	0.000	10080.1.13	90
